questions,answers,age,gender,age_gender,location,age_gender_location,overall
"A patient 79 years old male with symptoms vomiting and has diarrhea, abdomina pain and blood in faeces, lives in Dak Lak province . what might be the causes of the symptoms?","{""response"": ""1. 79 years male -> lives_in -> Dak Lak province. 79 years male -> has_symptoms -> {vomiting, diarrhea, abdominal pain, blood in feces}. 2. Dak Lak province -> linked_to -> {waterborne diseases, parasitic infections}. 3. Symptoms -> linked_to -> {dysentery, bacterial gastroenteritis, amoebiasis}. Possible causes include bacterial gastroenteritis (e.g., Shigella), amoebiasis, or parasitic infections. Immediate medical attention and stool tests are required.""}",0.51,0.18,0.35,0.85,0.73,0.59
"A patient 11 years old male with symptoms high fever, headache, body aches, nausea, muscle and joint pain, lives in Araraquara in the state of Sao Paulo. what might be the causes of the symptoms?","{""response"": ""1. 11 years male -> lives_in -> Araraquara, Sao Paulo. 11 years male -> has_symptoms -> {high fever, headache, body aches, nausea, muscle pain, joint pain}. 2. Araraquara -> linked_to -> {dengue-endemic region}. 3. Symptoms -> linked_to -> {dengue fever, chikungunya}. Possible causes include dengue fever or chikungunya. Diagnostic blood tests are advised.""}",0.03,0.05,0.01,0.92,0.85,0.56
"A patient 6 years old female with symptoms buruli ulcer, lives in Centre Sanitaire et Nutritionnel Gbemoten in Doga. what might be the causes of the symptoms?","{""response"": ""1. 6 years female -> lives_in -> Centre Sanitaire et Nutritionnel Gbemoten, Doga. 6 years female -> has_symptoms -> {buruli ulcer}. 2. Doga -> linked_to -> {Mycobacterium ulcerans}. Possible cause is Buruli ulcer. Diagnostic tests for Mycobacterium ulcerans are recommended.""}",0,0,0,0.95,0.95,0.85
"A patient 8 years old female with symptoms fatigue, headaches, nausea, loss of appetite and a high fever, lives in Vellore city. what might be the causes of the symptoms?","{""response"": ""1. 8 years female -> lives_in -> Vellore city. 8 years female -> has_symptoms -> {fatigue, headaches, nausea, loss of appetite, high fever}. 2. Vellore city -> linked_to -> {tropical diseases, waterborne diseases}. 3. Symptoms -> linked_to -> {dengue fever, typhoid fever, viral fever}. Possible causes include dengue fever, typhoid fever, or viral fever. Diagnostic tests like blood tests for dengue and typhoid are recommended.""}",0.18,0.32,0.25,0.85,0.78,0.51
"A patient 8 years old male with symptoms fever, chills, muscle aches, loss of appetite, weight loss, abdominal pain and increasing abdominal volume, lives in the rural area of Bahia, Brazil. what might be the causes of the symptoms?","{""response"": ""1. 8 years male -> lives_in -> Bahia, Brazil. 8 years male -> has_symptoms -> {fever, weight loss, abdominal pain}. 2. Bahia -> linked_to -> {visceral leishmaniasis}. Possible causes include visceral leishmaniasis. Diagnostic tests for leishmaniasis are recommended.""}",0.05,0.03,0.04,0.85,0.83,0.55
"A patient 11 years old female with symptoms a fever, severe headaches, and vomiting that started about a week ago, signs of confusion, and not being able to remember their name, lives in a village outside of Gorakhpur. what might be the causes of the symptoms?","{""response"": ""1. 11 years female -> lives_in -> village near Gorakhpur. 11 years female -> has_symptoms -> {fever, headaches, vomiting, confusion}. 2. Symptoms -> linked_to -> {encephalitis, Japanese encephalitis}. Possible causes include Japanese encephalitis. Immediate medical attention is required.""}",0.18,0.15,0.31,0.85,0.78,0.43
"A patient 2 years old male with symptoms seizure, lives in Gauteng province. what might be the causes of the symptoms?","{""response"": ""1. 2 years male -> lives_in -> Gauteng province. 2 years male -> has_symptoms -> {seizure}. 2. Gauteng province -> linked_to -> {infectious diseases, meningitis, epilepsy, febrile seizures}. 3. Symptoms -> linked_to -> {febrile seizures, meningitis, epilepsy}. Possible causes include febrile seizures, meningitis, or epilepsy. Diagnostic tests such as lumbar puncture and EEG may be necessary.""}",0.16,0.15,0.12,0.58,0.42,0.29
"A patient 29 years old female with symptoms fever, cough, fatigue, chills, headache, and body aches for over 2 weeks, lives in Cayenne in French Guiana and is works as a construction worker. what might be the causes of the symptoms?","{""response"": ""1. 29 years female -> lives_in -> Cayenne, French Guiana. 29 years female -> has_symptoms -> {fever, cough, fatigue, chills, headache, body aches}. 2. Living condition -> linked_to -> {tuberculosis, leptospirosis}. Possible causes include tuberculosis or leptospirosis. Diagnostic tests and immediate treatment are necessary.""}",0.07,0.04,0.04,0.56,0.44,0.25
"A patient 76 years old male with symptoms a fever, severe headaches, and vomiting that started about a week ago, signs of confusion, and not being able to remember their name, lives in a village outside of Gorakhpur. what might be the causes of the symptoms?","{""response"": ""1. 76 years male -> lives_in -> village near Gorakhpur. 76 years male -> has_symptoms -> {fever, headaches, vomiting, confusion}. 2. Symptoms -> linked_to -> {encephalitis, Japanese encephalitis}. Possible causes include Japanese encephalitis. Immediate hospitalization and diagnostic tests are necessary.""}",0.43,0.18,0.31,0.85,0.72,0.55
"A patient 26 years old male with symptoms fever, cough, fatigue, chills, headache, and body aches for over 2 weeks, lives in Cayenne in French Guiana and is works as a construction worker. what might be the causes of the symptoms?","{""response"": ""1. 26 years male -> lives_in -> Cayenne, French Guiana. 26 years male -> has_symptoms -> {fever, cough, fatigue, chills, headache, body aches}. 2. Living condition -> linked_to -> {tuberculosis, leptospirosis}. Possible causes include tuberculosis or leptospirosis. Diagnostic tests and immediate treatment are necessary.""}",0.16,0.11,0.13,0.75,0.68,0.39
"A patient 38 years old female with symptoms having itchy eyes and skin and light sensitivity, lives in Sodato village in Mpassa district. what might be the causes of the symptoms?","{""response"": ""1. 38 years female -> lives_in -> Sodato village, Mpassa district. 38 years female -> has_symptoms -> {itchy eyes, itchy skin, light sensitivity}. 2. Symptoms -> linked_to -> {onchocerciasis}. Possible causes include onchocerciasis. Diagnostic tests are recommended.""}",0.04,0.11,0.07,0.85,0.82,0.59
"A patient 6 years old female with symptoms tingling pain at the site of the bite, and has developed a fever, headache and is feeling weak, lives in rural Punjab. what might be the causes of the symptoms?","{""response"": ""1. 6 years female -> lives_in -> rural Punjab. 6 years female -> has_symptoms -> {tingling pain, fever, headache, weakness}. 2. Rural Punjab -> linked_to -> {rabies, dog bites}. Possible causes include rabies. Immediate medical attention is required, and post-exposure prophylaxis is necessary.""}",0.01,0.01,0.01,0.8,0.81,0.44
"A patient 73 years old male with symptoms a fever that started suddenly 3 days ago, along with muscle pain, headache, dizziness, neck pain and stiffness, sore eyes and light sensitivity, lives in Thiqar governorate, southeast Iraq and is livestock worker. what might be the causes of the symptoms?","{""response"": ""1. 73 years male -> lives_in -> Thiqar governorate, southeast Iraq. 73 years male -> has_symptoms -> {fever, muscle pain, headache, dizziness, neck stiffness, sore eyes, light sensitivity}. 2. Symptoms -> linked_to -> {Crimean-Congo hemorrhagic fever (CCHF)}. Possible causes include Crimean-Congo hemorrhagic fever. Immediate diagnostic tests and isolation measures are necessary.""}",0.35,0.21,0.42,0.78,0.62,0.51
"A patient 47 years old female with symptoms tingling pain at the site of the bite, and has developed a fever, headache and is feeling weak, lives in rural Punjab. what might be the causes of the symptoms?","{""response"": ""1. 47 years female -> lives_in -> rural Punjab. 47 years female -> has_symptoms -> {tingling pain at the bite site, fever, headache, weakness}. 2. Symptoms -> linked_to -> {rabies, post-bite infection}. Possible causes include rabies or post-bite infection. Immediate medical attention and rabies post-exposure prophylaxis are required.""}",0.15,0.45,0.36,0.8,0.67,0.53
