questions,answers,age,gender,age_gender,location,age_gender_location,total
"A 38-year-old woman presents to her physician with double vision persisting for a week. When she enters the exam room, the physician notes that the patient has a broad-based gait. The woman’s husband informs the doctor that she has been an alcoholic for the last 5 years and her consumption of alcohol has increased significantly over the past few months. He also reports that she has become indifferent to her family members over time and is frequently agitated. He also says that her memory has been affected significantly, and when asked about a particular detail, she often recollects it incorrectly, though she insists that her version is the true one. On physical examination, her vital signs are stable, but when the doctor asks her where she is, she seems to be confused. Her neurological examination also shows nystagmus. Which of the following options describes the earliest change in the pathophysiology of the central nervous system in this woman?","The earliest change in the pathophysiology of the central nervous system in this woman is likely Wernicke's encephalopathy, a neurological disorder caused by thiamine (vitamin B1) deficiency. This condition can affect memory, confusion, and coordination, as well as cause nystagmus and other neurological symptoms. Alcoholism can lead to malnutrition and thiamine deficiency, which can exacerbate these symptoms.",0.1,0.2,0.3,0,0.3,0.3
A 6-year-old female who recently immigrated to the United States from Asia is admitted to the hospital with dyspnea. Physical exam reveals a gray pseudomembrane in the patient's oropharynx along with lymphadenopathy. The patient develops myocarditis and expires on hospital day 5. Which of the following would have prevented this patient's presentation and decline?,"The patient's symptoms and the presence of a gray pseudomembrane in the oropharynx suggest Kawasaki disease, an autoimmune condition that primarily affects children. This disease is not common in the United States but is more prevalent in Asia. Early recognition and treatment with intravenous immunoglobulin (IVIG) and aspirin can prevent complications like myocarditis and prevent death. Therefore, a timely and accurate diagnosis, followed by prompt treatment, would have prevented this patient's presentation and decline.",0.1,0,0.1,0.5,0.6,0.6
"A 38-year-old man undergoes hemithyroidectomy for treatment of localized, well-differentiated papillary thyroid carcinoma. The lesion is removed with clear margins. However, during the surgery, a structure lying directly adjacent to the superior thyroid artery at the upper pole of the thyroid lobe is damaged. This patient is most likely to experience which of the following symptoms?","This patient is most likely to experience symptoms related to damage to the recurrent laryngeal nerve, such as hoarseness or voice changes, difficulty swallowing, and coughing when swallowing. This nerve is located near the superior thyroid artery and is often at risk during thyroid surgery.",0,0,0,0,0,0
"A 52-year-old woman presents to the emergency department with chest pain radiating to her left jaw and arm. She states that she had experienced similar symptoms when playing basketball. The medical history is significant for diabetes mellitus, hypertension, and GERD, for which she takes metformin, hydrochlorothiazide, and pantoprazole, respectively. The blood pressure is 150/90 mm Hg, the pulse is 100/min, and the respirations are 15/min. The ECG reveals ST elevation in leads V3-V6. She is hospitalized for an acute MI and started on treatment. The next day she complains of dizziness and blurred vision. Repeat vital signs were as follows: blood pressure 90/60 mm Hg, pulse 72/min, and respirations 12/min. The laboratory results were as follows:
Serum chemistry
Sodium 143 mEq/L
Potassium 4.1 mEq/L
Chloride 98 mEq/L
Bicarbonate 22 mEq/L
Blood urea nitrogen  26 mg/dL
Creatinine 2.3 mg/dL
Glucose 120 mg/dL
Which of the following drugs is responsible for this patient’s lab abnormalities","The low blood pressure, low potassium level (4.1 mEq/L), and high creatinine level (2.3 mg/dL) suggest the patient may be experiencing drug-induced hypokalemia and acute kidney injury, possibly due to hydrochlorothiazide, a diuretic that can cause electrolyte imbalances and kidney damage.",0,0,0,0,0,0
"A 68-year-old man is brought to the emergency department because of fever, productive cough, and dyspnea for 3 days. He has had upper back pain for 3 months, which is worse after activity. He takes ibuprofen for pain relief. He has no history of smoking. The temperature is 39.5°C (103.1°F), the blood pressure is 100/70 mm Hg, the pulse is 95/min, and the respirations are 22/min. Lung auscultation shows rales in the left lower lobe area. Painful lymph nodes (1 × 1 cm) are palpated in the left axillary and cervical regions. There is point tenderness along several thoracic vertebrae. Laboratory studies are pending. A skull X-ray and lung window thoracic computed tomography scan are shown. Which of the following disorders most likely played a role in this patient’s acute condition?","The patient's symptoms, including fever, productive cough, dyspnea, and lung rales, along with the presence of painful lymph nodes and point tenderness along the thoracic vertebrae, suggest a possible lung infection. The presence of a skull X-ray and lung window thoracic computed tomography scan may help to confirm the diagnosis, but the most likely cause of this patient's acute condition is pneumonia, possibly due to a bacterial or viral infection. Further testing, such as blood cultures, sputum cultures, and chest X-ray, will be necessary to confirm the diagnosis and determine the specific cause.",0.2,0,0.2,0,0.2,0.2
"A 32-year-old man presents to his primary care physician for a general wellness appointment. The patient has no complaints currently and just wants to be sure that he is in good health. The patient has a past medical history of asthma, hypertension, and anxiety. His current medications include albuterol, fluticasone, hydrochlorothiazide, lisinopril, and fexofenadine. His temperature is 99.5°F (37.5°C), blood pressure is 165/95 mmHg, pulse is 70/min, respirations are 15/min, and oxygen saturation is 98% on room air. On exam, you note a healthy young man with a lean habitus. Cardiac exam reveals a S1 and S2 heart sound with a normal rate. Pulmonary exam is clear to auscultation bilaterally with good air movement. Abdominal exam reveals a bruit, normoactive bowel sounds, and an audible borborygmus. Neurological exam reveals cranial nerves II-XII as grossly intact with normal strength and reflexes in the upper and lower extremities. Which of the following is the best next step in management?","The best next step in management would be to re-evaluate the patient's blood pressure control, as his current blood pressure reading is above the recommended range for hypertension. This could involve adjusting the dosage of his antihypertensive medication or considering additional medications to better control his blood pressure. Additionally, discuss lifestyle modifications such as diet, exercise, and stress management to further improve his blood pressure control. A referral to a specialist, such as a cardiologist or nephrologist, may also be considered if the hypertension is difficult to control.",0.1,0.1,0.1,0,0,0.1
"A 53-year-old man comes to the physician in February because of a 1-day history of fever, chills, headache, and dry cough. He also reports malaise and generalized muscle aches. He works as a teacher at a local high school, where there was recently an outbreak of influenza. He has a history of intermittent asthma, for which he takes albuterol as needed. He declined the influenza vaccine offered in the fall because his brother told him that a friend developed a flulike illness after receiving the vaccine. He is worried about possibly becoming ill and cannot afford to miss work. His temperature is 37.9°C (100.3°F), heart rate is 58/min, and his respirations are 12/min. Physical examination is unremarkable. His hemoglobin concentration is 14.5 g/dL, leukocyte count is 9,400/mm3, and platelet count is 280,000/mm3. In addition to analgesia, which of the following is the most appropriate next step in management?","The most appropriate next step in management would be to prescribe antiviral medication for influenza, such as oseltamivir (Tamiflu), as the symptoms and recent outbreak at his workplace suggest influenza infection. It is important to start treatment as soon as possible to reduce the severity of the illness and prevent complications. Encourage the patient to rest, stay hydrated, and monitor his symptoms closely. If symptoms worsen or do not improve, consider further evaluation and treatment for possible complications.",0.1,0,0.1,0.2,0.3,0.3
"A 40-year-old man comes to the physician because of a 1-week history of fatigue, dark urine, and a feeling of heaviness in his legs. Two weeks ago, he returned from a vacation to Brazil, where he spent most of his days exploring the city of Rio de Janeiro on foot. He also gained 3 kg (7 lb) during his vacation. He has systemic lupus erythematosus. His only medication is hydroxychloroquine. His temperature is 37.5°C (99.5°F), pulse is 78/min, and blood pressure is 162/98 mm Hg. Physical examination shows 2+ pretibial edema bilaterally. Urinalysis shows:
Blood 3+
Protein 1+
RBC 6–8/hpf with dysmorphic features
RBC casts numerous
WBC 8/hpf
WBC casts rare
Bacteria negative
Which of the following is the most likely cause of this patient's leg findings?","The most likely cause of this patient's leg findings is Nephrotic Syndrome, a complication of Systemic Lupus Erythematosus (SLE). The symptoms of fatigue, dark urine, and edema, along with the urinalysis results showing proteinuria, hematuria, and RBC casts, support this diagnosis. The patient's recent travel to Brazil and gain in weight may have triggered the flare-up of SLE. A kidney biopsy may be necessary to confirm the diagnosis and guide treatment.",0.1,0,0.1,0.2,0.3,0.3
"Three days after starting a new drug for malaria prophylaxis, a 19-year-old college student comes to the physician because of dark-colored urine and fatigue. She has not had any fever, dysuria, or abdominal pain. She has no history of serious illness. Physical examination shows scleral icterus. Laboratory studies show a hemoglobin of 9.7 g/dL and serum lactate dehydrogenase of 234 U/L. Peripheral blood smear shows poikilocytes with bite-shaped irregularities. Which of the following drugs has the patient most likely been taking?","The patient's symptoms and laboratory findings suggest hemolytic anemia, which can be a side effect of certain antimalarial drugs. The drug most likely causing this reaction is Primaquine, a 8-aminoquinoline derivative used for radical cure of Plasmodium vivax malaria. Other drugs like chloroquine or mefloquine do not typically cause hemolysis. However, it's important to confirm the diagnosis with a specialist and consider other possible causes of hemolytic anemia.",0.1,0,0.1,0,0.1,0.1
"A 5-year-old girl presents with altered mental status and difficulty breathing for the past couple of hours. The patient’s mother, a mechanic, says the girl accidentally ingested an unknown amount of radiator fluid. The patient’s vital signs are: temperature 37.1°C (98.8.F), pulse 116/min, blood pressure 98/78 mm Hg, and respiratory rate 42/min. On physical examination, cardiopulmonary auscultation reveals deep, rapid respirations with no wheezing, rhonchi, or crepitations. An ABG reveals the blood pH to be 7.2 with an anion gap of 16 mEq/L. Urinalysis reveals the presence of oxalate crystals. Which of the following is the most appropriate antidote for the poison that this patient has ingested?","The most appropriate antidote for ethylene glycol (antifreeze) poisoning, which is commonly found in radiator fluid, is fomepizole or ethanol (ethyl alcohol). Both can help to prevent the metabolism of ethylene glycol to oxalic acid, which causes metabolic acidosis and kidney failure. Immediate treatment is crucial to improve the patient's outcome.",0.1,0,0.1,0,0.1,0.1
