questions,answers,age,gender,age_gender,location,age_gender_location,total
"A patient 79 years old male with symptoms vomiting and has diarrhea, abdomina pain and blood in faeces, lives in Dak Lak province . what might be the causes of the symptoms?","1. 79 years male -> lives_in -> Dak Lak province

   79 years male -> has_symptoms -> {vomiting, diarrhea, abdominal pain, blood in faeces}

2. Dak Lak province -> is_a -> rural area -> linked_to -> food and waterborne exposures

   {vomiting, diarrhea, abdominal pain, blood in faeces} -> linked_to -> gastrointestinal infections

3. Food and waterborne exposures -> includes -> {salmonella, shigella, campylobacter, E. coli, Vibrio cholerae}

   Gastrointestinal infections -> includes -> {gastroenteritis, dysentery}

Possible causes: The patient's symptoms, particularly the presence of blood in the feces, suggest a gastrointestinal infection, such as gastroenteritis or dysentery, possibly caused by food or waterborne pathogens like salmonella, shigella, campylobacter, E. coli, or Vibrio cholerae. 

Diagnostic tests, including stool cultures for bacterial pathogens and a stool exam for ova and parasites, are recommended to confirm the diagnosis.",0.8,0.8,0.88,0.9,0.97,0.89
"A patient 11 years old male with symptoms high fever, headache, body aches, nausea, muscle and joint pain, lives in Araraquara in the state of Sao Paulo. what might be the causes of the symptoms?","1. 11 years male -> lives_in -> Araraquara in the state of Sao Paulo

   11 years male -> has_symptoms -> {high fever, headache, body aches, nausea, muscle pain, joint pain }

2. Araraquara in the state of Sao Paulo -> is_a -> region with high risk of vector-borne diseases -> linked_to -> {dengue, chikungunya, Zika}

   11 years male -> has_symptoms -> {high fever, headache, body aches, nausea, muscle pain, joint pain } -> linked_to -> {viral infections}

3. Dengue, chikungunya, Zika -> includes -> {dengue fever, chikungunya fever, Zika virus infection}

Possible causes: The symptoms suggest a viral infection, likely dengue fever, chikungunya fever, or Zika virus infection, given the patient's location in Araraquara, which is a region with high risk of these vector-borne diseases.

Diagnostic tests, including blood tests for dengue NS1 antigen, chikungunya IgM antibodies, and Zika virus RNA, are recommended to confirm the diagnosis.",0.2,0.2,0.4,0.9,0.94,0.62
"A patient 6 years old female with symptoms buruli ulcer, lives in Centre Sanitaire et Nutritionnel Gbemoten in Doga. what might be the causes of the symptoms?","1. 6 years female -> lives_in -> Centre Sanitaire et Nutritionnel Gbemoten in Doga

   6 years female -> has_symptoms -> {buruli ulcer}

2. Centre Sanitaire et Nutritionnel Gbemoten in Doga -> is_a -> rural area -> linked_to -> environmental exposures

   Buruli ulcer -> linked_to -> Mycobacterium ulcerans exposure

3. Environmental exposures -> includes -> {water contact with contaminated water, soil contact with contaminated soil}

   Mycobacterium ulcerans exposure -> includes -> {waterborne, soilborne} 

Possible causes: The buruli ulcer is typically caused by Mycobacterium ulcerans, which is often transmitted through water contact with contaminated water or soil contact with contaminated soil. 

Diagnostic tests, including skin biopsy and culture for Mycobacterium ulcerans, are recommended to confirm the diagnosis.

It is also essential to consider the patient's environment and potential exposure to contaminated water or soil in the Centre Sanitaire et Nutritionnel Gbemoten in Doga.",0.2,0.2,0.4,0.8,0.9,0.64
"A patient 8 years old female with symptoms fatigue, headaches, nausea, loss of appetite and a high fever, lives in Vellore city. what might be the causes of the symptoms?","1. 8 years female -> lives_in -> Vellore city

   8 years female -> has_symptoms -> {fatigue, headaches, nausea, loss of appetite, high fever}

2. Vellore city -> is_a -> urban area -> linked_to -> water and foodborne exposures

   High fever -> linked_to -> {viral infections, bacterial infections}

3. Water and foodborne exposures -> includes -> {chikungunya, leptospirosis, dengue}

   Viral infections -> includes -> {influenza, measles, chickenpox}

   Bacterial infections -> includes -> {typhoid, meningitis}

Possible causes: based on the symptoms and the urban location, the possible causes include water or foodborne infections like chikungunya, leptospirosis, dengue, viral infections such as influenza, measles, or chickenpox, or bacterial infections like typhoid or meningitis.

Diagnostic tests, including blood tests for dengue NS1 antigen or chikungunya IgM antibodies, throat swab for influenza or measles, and blood culture for typhoid or meningitis, are recommended to confirm the diagnosis.",0.2,0.2,0.4,0.8,0.9,0.64
"A patient 8 years old male with symptoms fever, chills, muscle aches, loss of appetite, weight loss, abdominal pain and increasing abdominal volume, lives in the rural area of Bahia, Brazil. what might be the causes of the symptoms?","1. 8 years male -> lives_in -> Bahia, Brazil

   8 years male -> has_symptoms -> {fever, chills, muscle aches, loss of appetite, weight loss, abdominal pain, increasing abdominal volume }

2. Bahia, Brazil -> is_a -> rural area -> linked_to -> parasitic and vector-borne exposures

   Rural area -> linked_to -> contaminated food and water

3. Parasitic and vector-borne exposures -> includes -> {schistosomiasis, Chagas disease, dengue}

   Contaminated food and water -> linked_to -> {amoebiasis, giardiasis}

Possible causes: based on the patient's location in rural Bahia, Brazil, and symptoms, possible causes include schistosomiasis (from contaminated water), Chagas disease (from triatomine bug bites), dengue (from mosquito bites), amoebiasis (from contaminated food and water), or giardiasis (from contaminated water). 

Diagnostic tests, including stool analysis for parasites (e.g., schistosomiasis, amoebiasis, giardiasis), serology for Chagas disease, and blood tests for dengue, are recommended to confirm the diagnosis.",0.2,0.2,0.4,0.8,0.9,0.64
"A patient 11 years old female with symptoms a fever, severe headaches, and vomiting that started about a week ago, signs of confusion, and not being able to remember their name, lives in a village outside of Gorakhpur. what might be the causes of the symptoms?","1. 11 years female -> lives_in -> village outside of Gorakhpur

   11 years female -> has_symptoms -> {fever, severe headaches, vomiting, confusion, memory loss}

   11 years female -> has_age -> 11 years old

2. {fever, severe headaches, vomiting, confusion, memory loss} -> linked_to -> {encephalitis, meningitis, heat stroke, poisoning, infections} 

   village outside of Gorakhpur -> linked_to -> rural area -> linked_to -> environmental and vector-borne exposures 

3. encephalitis -> includes -> {Japanese encephalitis, Nipah virus, herpes simplex virus} 

   heat stroke -> includes -> {exposure to extreme heat} 

   infections -> includes -> {bacterial meningitis, tuberculosis} 

   environmental and vector-borne exposures -> includes -> {mosquito bites, contaminated water} 

Possible causes: Given the symptoms of fever, confusion, and memory loss, it is essential to consider encephalitis, meningitis, heat stroke, or infections such as bacterial meningitis or tuberculosis. 

Given the rural location and exposure to environmental and vector-borne risks, the patient may have contracted a disease through a mosquito bite or contaminated water, such as Japanese encephalitis or Nipah virus.",0.2,0.2,0.4,0.8,0.9,0.64
"A patient 2 years old male with symptoms seizure, lives in Gauteng province. what might be the causes of the symptoms?","1. 2 years male -> has_symptoms -> {seizure}

   2 years male -> lives_in -> Gauteng province

2. {Seizure} -> linked_to -> {infections, metabolic disorders, structural brain abnormalities}

   Gauteng province -> linked_to -> {high incidence of infectious diseases, poor sanitation, high risk of lead poisoning}

3. Infections -> includes -> {meningitis, encephalitis, tetanus}

   Poor sanitation -> linked_to -> {intestinal infections, lead poisoning}

   Metabolic disorders -> includes -> {hypoglycemia, hypocalcemia, hypomagnesemia}

   Structural brain abnormalities -> includes -> {hydrocephalus, cerebral palsy}

Possible causes of seizure in a 2-year-old male living in Gauteng province include infections like meningitis or encephalitis, metabolic disorders such as hypoglycemia, hypocalcemia, or hypomagnesemia, structural brain abnormalities like hydrocephalus, or cerebral palsy.",0.2,0.2,0.4,0.8,0.9,0.64
"A patient 29 years old female with symptoms fever, cough, fatigue, chills, headache, and body aches for over 2 weeks, lives in Cayenne in French Guiana and is works as a construction worker. what might be the causes of the symptoms?","1. 29 years female -> lives_in -> Cayenne in French Guiana

   29 years female -> works_as -> construction worker

   29 years female -> has_symptoms -> {fever, cough, fatigue, chills, headache, body aches}

2. Cayenne in French Guiana -> is_a -> tropical region -> linked_to -> environmental and vector-borne exposures

   Construction worker -> linked_to -> occupational hazards and exposures

3. Environmental and vector-borne exposures -> includes -> {malaria, dengue, Zika, chikungunya}

   Occupational hazards and exposures -> includes -> {silicosis, respiratory infections}

Possible causes: Given her symptoms and living in a tropical region, malaria, dengue, Zika, or chikungunya could be possible causes. Additionally, her occupation as a construction worker may expose her to occupational hazards like silicosis or respiratory infections.

Diagnostic tests, including blood tests for malaria, dengue, and Zika, and a chest X-ray for silicosis, are recommended to confirm the diagnosis.",0.2,0.2,0.4,0.8,0.9,0.64
"A patient 76 years old male with symptoms a fever, severe headaches, and vomiting that started about a week ago, signs of confusion, and not being able to remember their name, lives in a village outside of Gorakhpur. what might be the causes of the symptoms?","
   76 years male -> lives_in -> village outside of Gorakhpur

   76 years male -> has_symptoms -> {fever, severe headaches, vomiting, confusion, memory loss} -> occurred_about -> {1 week ago}

2. village outside of Gorakhpur -> linked_to -> rural area -> linked_to -> environmental and vector-borne exposures

   {fever, severe headaches, vomiting, confusion, memory loss} -> linked_to -> {encephalitis, meningitis, sepsis} 

3. Environmental and vector-borne exposures -> includes -> { Japanese encephalitis, dengue, leptospirosis }

   {encephalitis, meningitis, sepsis} -> includes -> { Japanese encephalitis, bacterial meningitis, sepsis }

Possible causes: The symptoms suggest an infection, such as Japanese encephalitis (due to rural location and vector-borne exposure), bacterial meningitis (given the severity of symptoms), or sepsis (considering the acute onset and confusion). 

Diagnostic tests, including a CT or MRI scan for encephalitis, blood cultures for sepsis, and lumbar puncture for meningitis, are recommended to confirm the diagnosis.",0.8,0.2,0.6,0.9,0.9,0.78
"A patient 26 years old male with symptoms fever, cough, fatigue, chills, headache, and body aches for over 2 weeks, lives in Cayenne in French Guiana and is works as a construction worker. what might be the causes of the symptoms?","1. 26 years male -> has_symptoms -> {fever, cough, fatigue, chills, headache, body aches}

   26 years male -> lives_in -> Cayenne in French Guiana

   26 years male -> works_as -> construction worker

2. {Symptoms} -> linked_to -> respiratory and vector-borne exposures

   Cayenne in French Guiana -> is_a -> tropical region -> linked_to -> vector-borne exposures

3. Vector-borne exposures -> includes -> {dengue, chikungunya, Zika, malaria, leptospirosis}

Possible causes are dengue, chikungunya, Zika, malaria, or leptospirosis, which are prevalent in tropical regions and can be transmitted through mosquito bites or contact with infected animals. 

Diagnostic tests, including blood tests for dengue, chikungunya, and Zika (e.g., NS1 antigen or IgM antibodies), a blood smear for malaria, and serology for leptospirosis, are recommended to confirm the diagnosis.",0.2,0.2,0.4,0.8,0.9,0.64
