questions,answers,age,gender,age_gender,location,age_gender_location,total
"A patient 79 years old male with symptoms vomiting and has diarrhea, abdomina pain and blood in faeces, lives in Dak Lak province . what might be the causes of the symptoms?","Given the patient's age and symptoms of vomiting, diarrhea, abdominal pain, and blood in the feces, along with the geographic location in Dak Lak province, where there is a high risk of waterborne and foodborne illnesses, the possible causes could be bacterial or parasitic infections such as cholera, dysentery, or gastroenteritis. 

It is also essential to consider other age-related factors such as diverticulitis, ischemic colitis, or colon cancer, which could be more prevalent in the elderly population.",0.8,0.4,0.9,0.9,0.95,0.85
"A patient 11 years old male with symptoms high fever, headache, body aches, nausea, muscle and joint pain, lives in Araraquara in the state of Sao Paulo. what might be the causes of the symptoms?","Given the symptoms and geographic location, Zika virus infection, dengue fever, or chikungunya virus infection are possible causes. However, considering the age of the patient, Zika virus infection is a strong possibility.",0.8,0.4,0.6,0.9,0.95,0.85
"A patient 6 years old female with symptoms buruli ulcer, lives in Centre Sanitaire et Nutritionnel Gbemoten in Doga. what might be the causes of the symptoms?","
Given the symptoms of Buruli ulcer, a condition commonly found in tropical regions, and the patient's residence in Centre Sanitaire et Nutritionnel Gbemoten in Doga, Mycobacterium ulcerans infection is suspected. This bacterium is typically acquired through skin contact with contaminated water, particularly in areas with stagnant or slow-moving water.",0.8,0.4,0.6,0.9,0.85,0.83
"A patient 8 years old female with symptoms fatigue, headaches, nausea, loss of appetite and a high fever, lives in Vellore city. what might be the causes of the symptoms?","The symptoms described, such as fatigue, headaches, nausea, loss of appetite, and high fever in an 8-year-old female from Vellore city, suggest a possible infection. Given the location, dengue fever is a likely cause. It is a mosquito-borne illness common in this region, characterized by sudden onset of high fever, headache, and severe joint and muscle pain.",0.2,0.6,0.8,0.9,0.95,0.85
"A patient 8 years old male with symptoms fever, chills, muscle aches, loss of appetite, weight loss, abdominal pain and increasing abdominal volume, lives in the rural area of Bahia, Brazil. what might be the causes of the symptoms?","Given the symptoms and geographic location, Chagas disease is a strong possibility. This condition is caused by the parasite Trypanosoma cruzi, transmitted by triatomine bugs, which are common in rural areas of Brazil. The symptoms described, such as fever, abdominal pain, and weight loss, are consistent with acute Chagas disease.",0.2,0.05,0.05,0.8,0.8,0.8
"A patient 11 years old female with symptoms a fever, severe headaches, and vomiting that started about a week ago, signs of confusion, and not being able to remember their name, lives in a village outside of Gorakhpur. what might be the causes of the symptoms?","Given the symptoms of fever, severe headaches, vomiting, confusion, and memory loss in an 11-year-old girl from a village outside Gorakhpur, Japanese encephalitis (JE) or cerebral malaria are possible causes. These conditions are prevalent in rural areas of India and can cause severe neurological symptoms. Consider ordering a blood test for JE IgM or IgG antibodies, and perform a thick and thin blood smear for malaria parasites.",0.7,0.4,0.5,0.9,0.8,0.7
"A patient 2 years old male with symptoms seizure, lives in Gauteng province. what might be the causes of the symptoms?","Given the seizure symptom in a 2-year-old male living in Gauteng province, the possible causes include malaria, which is prevalent in South Africa. The most common cause of seizures in children is malaria, especially Plasmodium falciparum, which can cause cerebral malaria. Another possibility is a brain infection such as meningitis or encephalitis, which could be caused by bacteria like Neisseria meningitidis or viruses like herpes simplex.",0.8,0.6,0.9,0.95,0.98,0.93
"A patient 29 years old female with symptoms fever, cough, fatigue, chills, headache, and body aches for over 2 weeks, lives in Cayenne in French Guiana and is works as a construction worker. what might be the causes of the symptoms?","Given the symptoms and geographic location, Leptospirosis is a possible cause. This bacterial infection is common in construction workers and can be contracted through contact with contaminated water or soil. The patient's symptoms, such as fever, cough, and body aches, are consistent with Leptospirosis.",0,0,0,0.6,0.6,0.6
"A patient 76 years old male with symptoms a fever, severe headaches, and vomiting that started about a week ago, signs of confusion, and not being able to remember their name, lives in a village outside of Gorakhpur. what might be the causes of the symptoms?","Given the patient's age and symptoms, Japanese Encephalitis (JE) is a possible cause, especially considering the geographic location in Gorakhpur, where JE is prevalent. The patient's confusion and inability to remember their name suggest central nervous system involvement. A rapid diagnostic test or serology (IgM and IgG) for JE virus would be the next step to confirm the diagnosis.",0.8,0.6,0.85,0.95,0.98,0.93
"A patient 26 years old male with symptoms fever, cough, fatigue, chills, headache, and body aches for over 2 weeks, lives in Cayenne in French Guiana and is works as a construction worker. what might be the causes of the symptoms?","
Given the symptoms and geographic location, the patient's condition might be caused by Leptospirosis, a bacterial infection commonly found in tropical regions like French Guiana. This is likely due to exposure to contaminated water or soil during construction work. Consider ordering a blood test for Leptospira antibodies or a urine test for Leptospira antigen to confirm the diagnosis.",0.6,0.4,0.8,0.9,0.95,0.88
"A patient 38 years old female with symptoms having itchy eyes and skin and light sensitivity, lives in Sodato village in Mpassa district. what might be the causes of the symptoms?","Given the symptoms of itchy eyes and skin, light sensitivity, and the geographic location in Sodato village, Mpassa district, onchocerciasis (river blindness) caused by the Onchocerca volvulus parasite is a possible cause. This condition is transmitted through the bite of infected blackflies.",0.4,0.2,0.1,0.9,0.7,0.65
"A patient 6 years old female with symptoms tingling pain at the site of the bite, and has developed a fever, headache and is feeling weak, lives in rural Punjab. what might be the causes of the symptoms?","Given the symptoms of tingling pain at the bite site, fever, headache, and weakness in a 6-year-old girl from rural Punjab, Japanese encephalitis (JE) or kala-azar (visceral leishmaniasis) are possible causes. JE is transmitted by Culex mosquitoes, which are common in rural areas, while kala-azar is caused by Leishmania parasites spread by sandflies.",0.5,0.7,0.85,0.9,0.95,0.88
"A patient 73 years old male with symptoms a fever that started suddenly 3 days ago, along with muscle pain, headache, dizziness, neck pain and stiffness, sore eyes and light sensitivity, lives in Thiqar governorate, southeast Iraq and is livestock worker. what might be the causes of the symptoms?","Given the sudden onset of fever, muscle pain, headache, and neck stiffness, along with sore eyes and light sensitivity, Brucellosis is a strong possibility. This zoonotic disease is common in livestock workers and can be transmitted through contact with infected animals. Consider ordering a blood test for Brucella antibodies or culture to confirm the diagnosis.",0.6,0.5,0.65,0.8,0.85,0.75
"A patient 47 years old female with symptoms tingling pain at the site of the bite, and has developed a fever, headache and is feeling weak, lives in rural Punjab. what might be the causes of the symptoms?","
Given the symptoms and geographic location, the patient's condition is likely due to a snake bite, possibly from a saw-scaled viper or Russell's viper, which are common in rural Punjab. The tingling pain at the bite site, fever, headache, and weakness are consistent with systemic envenoming.",0.5,0.8,0.7,0.9,0.85,0.85
"A patient 14 years old male with symptoms vomiting and has diarrhea, abdomina pain and blood in faeces, lives in Dak Lak province . what might be the causes of the symptoms?","The symptoms of vomiting, diarrhea, abdominal pain, and blood in feces in a 14-year-old male from Dak Lak province suggest a gastrointestinal infection. Given the geographic location, enteric fever, such as typhoid fever caused by Salmonella Typhi, is a possibility. Another possible cause is intestinal parasites like hookworm or Giardia, which are common in rural areas with poor sanitation.",0.7,0.8,0.9,0.95,0.98,0.96
"A patient 14 years old female with symptoms a fever, headache, nausea and general unwellness, lives in Teluk Intan and recently went on a hike to Durian Perangin waterfall. what might be the causes of the symptoms?","Given the symptoms and recent outdoor activity, scrub typhus, a mite-borne illness caused by Orientia tsutsugamushi, is a strong possibility. This condition is common in rural areas and can be transmitted through contact with infected mites in vegetation.",0.6,0.3,0.2,0.8,0.7,0.65
"A patient 31 years old female with symptoms a history of progressive shortness of breath, fatigue, swelling in her lower legs and feet and fainting, lives in a house made of mud and adobe in a small community in the countryside of Peru. what might be the causes of the symptoms?","Given the patient's symptoms and living conditions, Chagas disease is a possible cause. This condition is caused by the parasite Trypanosoma cruzi, transmitted by triatomine bugs that are commonly found in rural areas of South America, including Peru. The symptoms of Chagas disease can include shortness of breath, fatigue, swelling in the lower extremities, and fainting due to cardiac involvement.",0.4,0.3,0.5,0.8,0.9,0.85
"A patient 43 years old female with symptoms a fever, cough, shortness of breath, fatigue, body aches, headache, nasal congestion and nausea, lives in a retirement home in Miami, Florida. what might be the causes of the symptoms?","Given the symptoms and the patient's living situation in a retirement home in Miami, Florida, the likely causes of her symptoms are respiratory infections, possibly influenza or COVID-19. Consider ordering a rapid influenza test and COVID-19 PCR to confirm the diagnosis.",0.6,0.7,0.8,0.9,0.95,0.85
"A patient 70 years old male with symptoms fever, muscle pain, headache, loss of appetite and nausea a few days ago, which subsided, lives in Daboya in the North Gonja district. what might be the causes of the symptoms?","Given the patient's age, symptoms, and geographic location, several conditions could be considered. However, the fact that the symptoms subsided suggests an acute illness. The North Gonja district is an area with high malaria transmission. Malaria, particularly Plasmodium falciparum, could be a possible cause of the symptoms. Other possibilities include dengue fever, which is prevalent in the region and often presents with fever, headache, and muscle pain. Further investigation, including a blood smear for malaria and dengue serology, would be necessary to confirm the diagnosis.",0.6,0.4,0.7,0.8,0.9,0.85
"A patient 32 years old female with symptoms a cough, fever, chills, lack of appetite and tiredness and has chronic diabetes, lives in Oyo town . what treatments might be recommended for this condition?","Given the symptoms and history of diabetes, pneumonia is a possible diagnosis. The patient should be treated with antibiotics, such as amoxicillin or azithromycin, to cover for bacterial causes like Streptococcus pneumoniae. Additionally, consider antiviral medication like oseltamivir if influenza is suspected, especially given the chills and lack of appetite.",0.7,0.4,0.8,0.2,0.5,0.65
