questions,answers,age,gender,age_gender,location,age_gender_location,total
"Patient is a 28 year old male reporting with fever, severe headaches, irritability, fatigue and aching muscles and joints. They have developed a skin rash, show signs of confusion and report uncharacteristic sleeping during the day. Patient lives in the Uige province and owns domestic animals. What treatment should be given for this condition?","The symptoms and geographic location suggest a possible case of Rift Valley Fever (RVF), a viral disease transmitted by mosquitoes. Treatment is primarily supportive, focusing on relieving symptoms and managing complications. Administer acetaminophen or ibuprofen for fever and pain, and provide fluid replacement to prevent dehydration.",0.2,0.1,0.05,0.8,0.65,0.55
"Patient is a 49 year old female reporting with fever, headache, muscle pain, sore throat, loss of appetite, diarrhea and vomiting. They are also hemorrhaging. Patient is a health worker from Vuhovi. Patient has a family member who was recently admitted with similar symptoms. How should I manage this condition?","Given the symptoms and recent exposure to a family member with similar illness, Ebola virus disease is a strong possibility. To manage this condition, isolate the patient immediately and put on personal protective equipment (PPE) to prevent transmission. Administer supportive care, including fluid replacement and blood transfusions if necessary, and contact local health authorities to report the case and arrange for further testing, such as PCR or serology, to confirm the diagnosis.",0.6,0.7,0.7,0.8,0.9,0.85
"Patient is an 18 year old female reporting with a fever, nausea, diarrhea and dizziness. They have an intensely itchy rash, swelling with a burning feeling on the leg. Patient lives in the Sarh area in Southeast Chari and regularly fetches water from a nearby stream for household use. How should I manage this condition?","Given the symptoms and exposure history, cutaneous leishmaniasis is suspected. The intensely itchy rash and swelling on the leg, along with fever and gastrointestinal symptoms, are indicative of this parasitic infection. To manage the condition, administer antiparasitic medication such as miltefosine 50 mg three times daily for 28 days, and apply topical creams to alleviate the skin lesions.",0.2,0.1,0.05,0.8,0.7,0.6
Patient is a 25 year old female reporting with a mild fever and painless swellings on arms and feet that resemble insect bites. One of the swellings on her feet has ulcerated. Patient has been referred from her district clinic to Centre Sanitaire et Nutritionnel Gbemoten in Doga. Can you provide the appropriate medication for the condition?,"Given the symptoms of painless swellings resembling insect bites, particularly with ulceration, a likely diagnosis is cutaneous leishmaniasis. The appropriate treatment is antimonial compounds like Glucantime (sodium stibogluconate) or Pentostam (meglumine antimoniate) for 20 days, or amphotericin B for more severe cases.",0.4,0.7,0.5,0.8,0.6,0.65
"Patient is a 15 year old female reporting with a fever, muscle aches, headache, severe fatigue, severe back pain and vomiting. A few days ago they started observing flat red spots in their mouth, which then spread to their face, arms and legs, and as of yesterday started blistering and filling with pus. How should I manage this condition?","The symptoms described are indicative of a severe skin and mucous membrane condition, likely erythema multiforme or Stevens-Johnson syndrome (SJS), a life-threatening condition. Immediate management involves stopping any medications that could be causing the reaction, providing supportive care such as hydration, pain management, and wound care, and consulting a dermatologist or intensivist for further guidance.",0.2,0.5,0.3,0,0,0.35
"Patient was bitten by a street dog on her lower leg about a week ago and reports feeling tingling pain at the site of the bite, and has developed a fever, headache and is feeling weak. They recently started experiencing anxiety and hallucinations, and show signs of lack of coordination. She lives in rural Punjab. What is the most likely diagnosis for this condition?","The symptoms and history suggest a rabies infection. The patient's recent dog bite and subsequent neurological symptoms, such as anxiety, hallucinations, and lack of coordination, are indicative of rabies. Immediate treatment with post-exposure prophylaxis (PEP) is necessary, including wound cleaning and administration of rabies immunoglobulin and the first dose of the rabies vaccine.",0.5,0.7,0.8,0.9,0.96,0.85
"Patient is a 66 year old female presenting with headache, nausea, fever, fatigue and muscle pain. They are also complaining of severe joint pain. Patient has a history of high blood pressure and lives in San Lorenzo district in the Central region. What tests should I do to confirm diagnosis?","Given the symptoms and geographic location, Chikungunya virus infection is suspected. To confirm the diagnosis, order RT-PCR or virus isolation in the first 7 days of illness, or IgM and IgG serology if symptoms began more than a week ago. Also, monitor blood pressure and renal function due to her hypertension history.",0.6,0.7,0.85,0.95,0.98,0.95
"Patient is a 20 year old male who has been having fever on and off for the past week. They appear malnourished, show signs of anemia including fatigue, headache and heart palpitations and symptoms of an enlarged spleen - fullness and pain in the left upper belly. He is of the Turkana tribe and is responsible for herding his family’s cattle. What is the most likely diagnosis for this condition?","The patient's symptoms and lifestyle suggest a diagnosis of malaria, likely caused by Plasmodium falciparum. The symptoms of fever, anemia, and enlarged spleen are consistent with malaria, which is prevalent in areas with poor mosquito control, such as rural regions where cattle herding is c",0.5,0.6,0.7,0.9,0.95,0.85
"Patient is a 1 year old female infant who has developed large fast-spreading ulcerative blisters on her belly, arms and back. Mother reports that blisters start off as fluid filled blisters and burst within a day. She is of the Goorie community in South East Queensland. What is the most likely diagnosis for this condition?","The symptoms described suggest a diagnosis of bullous impetigo, a bacterial skin infection caused by Staphylococcus aureus. However, considering the fast-spreading nature of the blisters, another possibility is bullous pemphigoid, but more likely it could be bullous impetigo or possibly Stevens-Johnson syndrome or toxic epidermal necrolysis (TEN) which are more severe conditions.",0.2,0.3,0.1,0.6,0.4,0.35
"Patient is a 5 year old male whose father brought him in and the child has itching and irritation of eyes and eyelids, and a mucus-like discharge from a swelling on his eye. There is eye redness, pain and signs of sensitivity to light. Patient lives in South Gonda. Can you describe options for management?","Given the symptoms, the child likely has trachoma, a bacterial infection that's common in rural areas with poor sanitation. Management options include antibiotics, such as azithromycin, to treat the infection. Additionally, provide good hygiene practices, such as washing hands and face regularly, and proper disposal of human waste to prevent further transmission.",0.8,0.33,0.2,0.9,0.85,0.7
